actor,created_at,id,id_str,text,truncated,entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted
Eric Roberts,Wed May 19 16:42:21 +0000 2021,1395057248716705795,1395057248716705795,"BOOM! ERIC ROBERTS joins the cast of THE BALLAD OF TRAVIS HUNTER!!
Eric has won ACADEMY AWARDS and GOLDEN GLOBE AWA… https://t.co/lFooEKIjnY",True,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/lFooEKIjnY', 'expanded_url': 'https://twitter.com/i/web/status/1395057248716705795', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 26630471, 'id_str': '26630471', 'name': 'Jill Thacker', 'screen_name': 'jthac21', 'location': 'Sanford, Florida', 'description': '', 'url': 'https://t.co/SS8sTPDjCt', 'entities': {'url': {'urls': [{'url': 'https://t.co/SS8sTPDjCt', 'expanded_url': 'http://Jbcentertainment.biz', 'display_url': 'Jbcentertainment.biz', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 191, 'friends_count': 758, 'listed_count': 2, 'created_at': 'Wed Mar 25 23:47:29 +0000 2009', 'favourites_count': 4403, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 7064, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/497133666620145665/Jr8ysLBw_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/497133666620145665/Jr8ysLBw_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/26630471/1407360912', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False
Eric Roberts,Wed May 19 16:19:16 +0000 2021,1395051437093232642,1395051437093232642,"@TaraWilcoxon @CaptainQuint @88Wahoo @Sifu_Morgan Ohhh, I wanted to see that! THANKS, THANKS A LOT!
How was Eric Roberts as the husband?",False,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TaraWilcoxon', 'name': 'Tara Wilcoxon', 'id': 2364923442, 'id_str': '2364923442', 'indices': [0, 13]}, {'screen_name': 'CaptainQuint', 'name': '𝑼𝒏𝒌𝒏𝒐𝒘𝒏 𝑺𝒕𝒖𝒏𝒕𝒎𝒂𝒏', 'id': 71100748, 'id_str': '71100748', 'indices': [14, 27]}, {'screen_name': '88Wahoo', 'name': 'Steve', 'id': 168818304, 'id_str': '168818304', 'indices': [28, 36]}, {'screen_name': 'Sifu_Morgan', 'name': 'Todd Morgan', 'id': 1013209509446258690, 'id_str': '1013209509446258690', 'indices': [37, 49]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1.3943580248154522e+18,1394358024815452161,2364923442.0,2364923442,TaraWilcoxon,"{'id': 634615454, 'id_str': '634615454', 'name': 'Benni', 'screen_name': 'bennihalking', 'location': '', 'description': 'a solitary man with a messy apartment which may or may not contain a chicken', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 75, 'friends_count': 12, 'listed_count': 4, 'created_at': 'Fri Jul 13 14:34:48 +0000 2012', 'favourites_count': 431, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 5114, 'lang': None, 'contributors_enabled': False, 'is_translator': True, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1136027062425268227/rQJ4tNfS_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1136027062425268227/rQJ4tNfS_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/634615454/1350312138', 'profile_link_color': '1A40D6', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'badged', 'withheld_in_countries': []}",,,,,False,0,2,False,False
Eric Roberts,Wed May 19 16:01:55 +0000 2021,1395047074060816389,1395047074060816389,267. Hidden Secrets (2006) -- A group of friends come together for a funeral and hidden secrets become .... unhidde… https://t.co/rGmJ6iG7mx,True,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/rGmJ6iG7mx', 'expanded_url': 'https://twitter.com/i/web/status/1395047074060816389', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.3950178154140017e+18,1395017815414001674,36598926.0,36598926,LisaMarieBowman,"{'id': 36598926, 'id_str': '36598926', 'name': 'Lisa Marie Bowman', 'screen_name': 'LisaMarieBowman', 'location': 'Lost in Desire', 'description': 'Just a sweet little thing with morbid thoughts. LNM Gang hostess.  Writes for Through the Shattered Lens, Horror Critic, Big Brother Blog, and more!', 'url': 'https://t.co/TdK2MScAYx', 'entities': {'url': {'urls': [{'url': 'https://t.co/TdK2MScAYx', 'expanded_url': 'http://unobtainium13.com/', 'display_url': 'unobtainium13.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 8680, 'friends_count': 7439, 'listed_count': 220, 'created_at': 'Thu Apr 30 04:50:18 +0000 2009', 'favourites_count': 31140, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 180212, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/3377665148/5688ce69f5838114283c0b4ae0289077_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/3377665148/5688ce69f5838114283c0b4ae0289077_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/36598926/1363238797', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False
Eric Roberts,Wed May 19 14:05:40 +0000 2021,1395017815414001674,1395017815414001674,266. This Is Our Time (2013) -- Recent college grads try to find their place in the world.  Eric Roberts offers adv… https://t.co/hvIQSeMDWw,True,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/hvIQSeMDWw', 'expanded_url': 'https://twitter.com/i/web/status/1395017815414001674', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.3947376141257687e+18,1394737614125768704,36598926.0,36598926,LisaMarieBowman,"{'id': 36598926, 'id_str': '36598926', 'name': 'Lisa Marie Bowman', 'screen_name': 'LisaMarieBowman', 'location': 'Lost in Desire', 'description': 'Just a sweet little thing with morbid thoughts. LNM Gang hostess.  Writes for Through the Shattered Lens, Horror Critic, Big Brother Blog, and more!', 'url': 'https://t.co/TdK2MScAYx', 'entities': {'url': {'urls': [{'url': 'https://t.co/TdK2MScAYx', 'expanded_url': 'http://unobtainium13.com/', 'display_url': 'unobtainium13.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 8680, 'friends_count': 7439, 'listed_count': 220, 'created_at': 'Thu Apr 30 04:50:18 +0000 2009', 'favourites_count': 31140, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 180212, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/3377665148/5688ce69f5838114283c0b4ae0289077_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/3377665148/5688ce69f5838114283c0b4ae0289077_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/36598926/1363238797', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False
Eric Roberts,Wed May 19 13:14:56 +0000 2021,1395005048388730882,1395005048388730882,He knew eric would blow it or former guy forbade the question. https://t.co/mpJ1ywhF1o,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/mpJ1ywhF1o', 'expanded_url': 'https://twitter.com/atrupar/status/1395002872203563010', 'display_url': 'twitter.com/atrupar/status…', 'indices': [63, 86]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,"{'id': 1124703235086999552, 'id_str': '1124703235086999552', 'name': 'GreenHornet', 'screen_name': 'roberts_game', 'location': 'North Carolina, USA', 'description': 'Veteran U S Army,  \nTrue Blue Democrat\nI will vet and follow back. Please no list.\nResist.  StrongerTogether, Be Strong\n\n#resistance,  🦂, 🇺🇸 💙💙👋🌊🌊🔥🔥', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 4256, 'friends_count': 4906, 'listed_count': 0, 'created_at': 'Sat May 04 15:52:01 +0000 2019', 'favourites_count': 22508, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 29135, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1177688753437134848/fB5LN0sv_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1177688753437134848/fB5LN0sv_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1124703235086999552/1590497086', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,True,0,0,False,False
Eric Roberts,Wed May 19 09:51:58 +0000 2021,1394953970544746496,1394953970544746496,@GidgitVonLaRue Love Runaway Train. Eric Roberts gold!!!! 👌,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GidgitVonLaRue', 'name': 'Gidgit VonLaRue', 'id': 340376505, 'id_str': '340376505', 'indices': [0, 15]}], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.394952927236694e+18,1394952927236694016,340376505.0,340376505,GidgitVonLaRue,"{'id': 799273084083695616, 'id_str': '799273084083695616', 'name': 'Mark Wilkins', 'screen_name': 'MarkWil67206795', 'location': '', 'description': '', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 2948, 'friends_count': 4990, 'listed_count': 7, 'created_at': 'Thu Nov 17 15:28:47 +0000 2016', 'favourites_count': 294242, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 34136, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1242368736448954368/sBypbaPh_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1242368736448954368/sBypbaPh_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,1,False,False
Eric Roberts,Wed May 19 08:05:43 +0000 2021,1394927233157013505,1394927233157013505,"Eric Roberts and Sheila Kennedy 
photographed by Ron Galella, 1987 https://t.co/lWd03rlAJR",False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1394927227922493441, 'id_str': '1394927227922493441', 'indices': [67, 90], 'media_url': 'http://pbs.twimg.com/media/E1vG7FPXMAE1hIC.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E1vG7FPXMAE1hIC.jpg', 'url': 'https://t.co/lWd03rlAJR', 'display_url': 'pic.twitter.com/lWd03rlAJR', 'expanded_url': 'https://twitter.com/KinoVinoandMore/status/1394927233157013505/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 540, 'h': 530, 'resize': 'fit'}, 'medium': {'w': 540, 'h': 530, 'resize': 'fit'}, 'small': {'w': 540, 'h': 530, 'resize': 'fit'}}}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 186024638, 'id_str': '186024638', 'name': 'VKadre_ru', 'screen_name': 'KinoVinoandMore', 'location': 'Москва', 'description': 'We like movies more than people', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 6621, 'friends_count': 100, 'listed_count': 34, 'created_at': 'Thu Sep 02 12:10:55 +0000 2010', 'favourites_count': 422, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 24543, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/572782278862839808/mErIiTtz_normal.jpeg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/572782278862839808/mErIiTtz_normal.jpeg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/186024638/1390064303', 'profile_link_color': '056B2B', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,1,4,False,False
Eric Roberts,Wed May 19 07:47:09 +0000 2021,1394922559712362498,1394922559712362498,eric roberts used to be so good,False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3949221153510154e+18,1394922115351015428,1.2903385745003889e+18,1290338574500388865,punchdrunkbaby,"{'id': 1290338574500388865, 'id_str': '1290338574500388865', 'name': 's u n d e a d', 'screen_name': 'punchdrunkbaby', 'location': '🔮', 'description': '+ = - ∞ - = +', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 488, 'friends_count': 595, 'listed_count': 2, 'created_at': 'Mon Aug 03 17:28:00 +0000 2020', 'favourites_count': 39599, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 10434, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1394841245751549952/pRrz28Ds_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1394841245751549952/pRrz28Ds_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1290338574500388865/1620595133', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False
Eric Roberts,Wed May 19 07:25:14 +0000 2021,1394917045435879424,1394917045435879424,Starting small: sustainability in action Meet the climate-friendly SMEs that are lowering their impact on the envir… https://t.co/ufH5vE8syk,True,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/ufH5vE8syk', 'expanded_url': 'https://twitter.com/i/web/status/1394917045435879424', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://dynamicsignal.com/"" rel=""nofollow"">Dynamic Signal</a>",,,,,,"{'id': 1309087376740941827, 'id_str': '1309087376740941827', 'name': 'Richard Mann, Ulster Bank', 'screen_name': 'mann_richard1', 'location': 'Belfast', 'description': 'Service Delivery Manager with Ulster Bank. I support our network of BDMs, customers & intermediaries. Please don’t tweet personal details. All views are my own.', 'url': 'https://t.co/fRyYXBtOmu', 'entities': {'url': {'urls': [{'url': 'https://t.co/fRyYXBtOmu', 'expanded_url': 'http://ulsterbank.co.uk/business', 'display_url': 'ulsterbank.co.uk/business', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 20, 'friends_count': 30, 'listed_count': 0, 'created_at': 'Thu Sep 24 11:09:05 +0000 2020', 'favourites_count': 0, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 38, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1309092300769890304/qJo-smhb_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1309092300769890304/qJo-smhb_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1309087376740941827/1611750781', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False
Eric Roberts,Wed May 19 07:21:17 +0000 2021,1394916050999910401,1394916050999910401,"""Gratitude makes sense of our past, brings peace for today, and creates a vision for tomorrow.""

- Eric Roberts,
Out of Africa (1985)",False,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""https://cheapbotsdonequick.com"" rel=""nofollow"">Cheap Bots, Done Quick!</a>",,,,,,"{'id': 1182353912805740544, 'id_str': '1182353912805740544', 'name': 'Best Quotes', 'screen_name': 'everyoneisabot1', 'location': '', 'description': 'Famous quotes by the wrong people in the wrong movies', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 114, 'friends_count': 0, 'listed_count': 1, 'created_at': 'Thu Oct 10 17:55:20 +0000 2019', 'favourites_count': 0, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 83953, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profile_image_url_https': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': True, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,0,False,False
Tom Sizemore,Wed May 19 15:18:44 +0000 2021,1395036203284635650,1395036203284635650,There's this firefight scene in Black Hawk Down where the LC (Tom Sizemore) is standing in the open next to his Hum… https://t.co/jpCZToD9S8,True,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/jpCZToD9S8', 'expanded_url': 'https://twitter.com/i/web/status/1395036203284635650', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,"{'id': 1287841097117569034, 'id_str': '1287841097117569034', 'name': 'Sherp', 'screen_name': 'ShockedSherpa', 'location': '', 'description': 'I post about the natural world🌲🗻, crypto, and my life. Trying to be a decent human. Husband, dad, loyal to whatever is true. XRP (2017)/FLR/GALA/Utility.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 456, 'friends_count': 469, 'listed_count': 0, 'created_at': 'Mon Jul 27 20:03:45 +0000 2020', 'favourites_count': 5353, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 3327, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1395045852507410433/9cG1oMWx_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1395045852507410433/9cG1oMWx_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1287841097117569034/1618842879', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,6,False,False
Tom Sizemore,Wed May 19 07:03:19 +0000 2021,1394911531188449282,1394911531188449282,"Today is the day you all need to start caring about Heart and Souls, the 1993 movie where Robert Downey Jr is born… https://t.co/9mrnB7DunI",True,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/9mrnB7DunI', 'expanded_url': 'https://twitter.com/i/web/status/1394911531188449282', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 23151062, 'id_str': '23151062', 'name': 'Brodie Lancaster', 'screen_name': 'brodielancaster', 'location': 'Melbourne', 'description': 'Writer, nice lady, Bundaberg’s most beloved export.', 'url': 'https://t.co/AJFUjIo7tC', 'entities': {'url': {'urls': [{'url': 'https://t.co/AJFUjIo7tC', 'expanded_url': 'http://brodielancaster.com/', 'display_url': 'brodielancaster.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 7543, 'friends_count': 3111, 'listed_count': 113, 'created_at': 'Sat Mar 07 01:58:35 +0000 2009', 'favourites_count': 59080, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 56992, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '9AE4E8', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1216574989010227200/qZzwR-fe_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1216574989010227200/qZzwR-fe_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/23151062/1520825842', 'profile_link_color': '89C9FA', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDFFCC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",,,,,False,0,42,False,False
